County,Jurisdiction,Address,,In/Outdoor,Dropoff hours,Clerk special hours Aug. 1-2,Notes/Comments:
Alcona,Mikado Township,2268 Hamilton Rd,Mikado,Outdoors,24/7,,Black box by garage door.
Alger,Au Train Township,N7569 Spruce St,Au Train,Outdoors,24/7,,
Allegan,CASCO TOWNSHIP,7104 107TH AVENUE,SOUTH HAVEN,Indoors,24/7,,In entryway
Allegan,City of Otego,117 E Orleans Street,Otsego,Outdoors,24/7,,
Allegan,City of Plainwell,211 N Main St,Plainwell,Outdoors,24/7,,
Allegan,Fillmore Township,"Township Clerk, 4219 52nd St",Holland,Outdoors,24/7,,
Allegan,Ganges Township,1904 64th St.,Fennville,Outdoors,24/7,,Ballots should be put in bottom slot of mailbox located at the roadside.
Allegan,Gun Plain Township,381 8th Street,Plainwell,Outdoors,24/7,,
Allegan,Heath Township,3440 M-40,Hamilton,Outdoors,24/7,,
Allegan,Hopkins,128 S. Franklin,Hopkins,Outdoors,24/7,,
Allegan,Manlius Township,3134 57th,Fennville,Indoors,24/7,,
Allegan,Overisel township,A-4307 144th Ave,Holland,Outdoors,24/7,,
Allegan,Saugatuck City,102 Butler street,Saugatuck,Outdoors,24/7,,
Allegan,Trowbridge Township,913 M-40 S,Allegan,Outdoors,24/7,,
Allegan,Valley Township,2054 N. M-40,Allegan,Outdoors,24/7,,
Allegan,Wayland Township,1060 129th Avenue,"Bradley, MI",Outdoors,24/7,,
Alpena,Alpena Township,4385 US 23 N,Alpena,Outdoors,24/7,,
Antrim,Central Lake,1622 N M88,Central Lake,Outdoors,24/7,,
Antrim,Elk Rapids Township,315 Bridge St.,Elk Rapids,Outdoors,24/7,,Box to be installed 7/23/20.  Outdoor access slot for deposits of ballots.
Antrim,Helena Township,8751 Helena Road,Alden,Indoors,"9A - 2P, M-F","9A - 5P, Sunday, Aug. 2",
Antrim,Torch Lake Township,2355 US Hwy 31 N,Kewadin,Indoors,24/7,,
Arenac,Sims,4489 E. Huron Rd,AuGres,Outdoors,24/7,,
Arenac,Whitney Township,1515 N. Huron,Tawas City,Outdoors,24/7,,
Barry,Carlton Township,85 Welcome Road,Hastings,Outdoors,24/7,,Front door slot.
Barry,Hastings Charter Township,885 River Rd,Hastings,Outdoors,24/7,,
Barry,Hope Township,5463 S M-43 Hwy,Hastings,Outdoors,24/7,,On side of hall.
Barry,Johnstown Township,13641 S. M-37 Hwy.,Battle Creek,Outdoors,24/7,,
Barry,Orangeville Township,7350 Lindsey Rd,Plainwell,Outdoors,24/7,,On side of building.
Barry,Rutland Charter Township,2461 Heath Rd,Hastings,Outdoors,24/7,,
Barry,Thornapple Township,200 E Main St,Middleville,Outdoors,24/7,,
Bay,Beaver Township,1850 S. Garfield Road,Auburn,Outdoors,24/7,,Attached to building.
Bay,City of Bay City,301 Washington Avenue,Bay City,Outdoors,24/7,,
Bay,City of Pinconning,208 S. Manitou St.,Pinconning,Outdoors,24/7,,
Bay,Frankenlust Township,2401 Delta Road,Bay City,Outdoors,24/7,,"One drop box on building and a drive-up drop box at the back of the parkinglot."
Bay,Fraser Township,1474 N Mackinaw Rd,Linwood,Outdoors,24/7,,
Bay,Gibson Township,6073 Carter Rd.,Bentley,Outdoors,24/7,,
Bay,Hampton Township,801 W. Center Road,Essexville,Outdoors,24/7,,
Bay,Merritt Township,48 E. Munger Rd.,Munger,Outdoors,24/7,,
Bay,Mt. Forest Township,1705 W Cody Estey Rd,Pinconning,Outdoors,24/7,,
Bay,Pinconning Township,1751  Cody Estey Road,Pinconning,Outdoors,24/7,,
Berrien,Bertrand Township,3835 Buffalo Rd,Buchanan,Indoors,24/7,,Slot in entryway door.
Berrien,Chikaming Township,13535 Red Arrow Hwy,Harbert,Outdoors,24/7,,
Berrien,Chikaming Township,13535 Red Arrow Hwy,Harbert,Indoors,"8:30A - 4:30P, M-F","8A - 4P, Saturday, Aug. 1",
Berrien,City of Bridgman,9765 Maple St.,Bridgman,Outdoors,24/7,,
Berrien,City of Coloma,119 N. Paw Paw St.,Coloma,Outdoors,24/7,,
Berrien,Coloma Charter Township,4919 Paw Paw Lake Road,Coloma,Indoors,24/7,,
Berrien,Hagar Towship,3900 Riverside Rd,Benton Harbor,Outdoors,24/7,,
Berrien,Lake Charter Township,3220 Shawnee Road,Bridgman,Outdoors,24/7,,
Berrien,Lincoln Charter Township,2055 West John Beers Rd,Stevensville,Outdoors,24/7,,To the right of front door.
Berrien,New Buffalo Township,17425 Red Arrow Hwy,New Bufffalo,Outdoors,24/7,,On the Building to the left of the front doors.
Berrien,St. Joseph Charter Township,3000 Washington Avenue,St. Joseph,Outdoors,24/7,,
Berrien,Three Oaks Township,6810 US Hwy 12,Three Oaks,Outdoors,24/7,,One in lobby which is always open and one on the east side of building.
Berrien,Weesaw Township,13518 State St.,New Troy,Outdoors,24/7,,
Branch,City of Coldwater,One Grand Street,Coldwater,Outdoors,24/7,,
Branch,Coldwater Township,319 Sprague Road,Coldwater,Outdoors,24/7,,It is located to the right of our Township Hall entry door.
Calhoun,City of Albion,112 W Cass Street,Albion,Outdoors,24/7,,
Calhoun,City of Marshall,323 W. Michigan Avenue,Marshall,Outdoors,24/7,,
Calhoun,City of Springfield,601 Avenue A,Springfield,Outdoors,24/7,,
Calhoun,Emmett Charter Township,621 Cliff St,Battle Creek,Outdoors,24/7,,
Calhoun,Fredonia,8803 17 Mile Road,Marshall,Indoors,24/7,,
Calhoun,Lee Township,23045 21 Mile Road,Olivet,Outdoors,24/7,,
Calhoun,Leroy Township,8156 4 Mile Road,East Leroy,Outdoors,24/7,,
Calhoun,Marshall Township,13551 Myron Avery Drive,Marshall,Outdoors,24/7,,"On north side of the building, next to the door."
Calhoun,Pennfield Charter Township,20260 Capital Avenue N.E.,Battle Creek,Outdoors,24/7,,
Calhoun,Sheridan Township,13355 29 Mile Rd,Albion,Outdoors,24/7,,
Cass,Cassopolis,22742 Diamond Cove St.,Cassopolis,Outdoors,24/7,,
Cass,Cassopolis,120 N. Broadway St.,Cassopolis,Indoors,"8A - 5P, M-F",,
Cass,Ontwa Township,26225 US 12,Edwardsburg,Indoors,24/7,,On the building
Cass,Silver Creek Township,32764 Dixon,Dowagiac,Indoors,24/7,,Located in the breezeway
Charlevoix,Boyne Valley Township,2489 Railroad St,Boyne Falls,Indoors,24/7,,drop box is in the vestibule
Charlevoix,Charlevoix Township,12491 Waller Rd.,Charlevoix,Outdoors,24/7,,
Charlevoix,Eveline Township,8525 Ferry Road,East Jordan,Outdoors,24/7,,To the left of the front door.
Charlevoix,Melrose Township,04289 M-75 N,Walloon Lake,Indoors,24/7,,In lobby.
Charlevoix,Wilson Township,02530 Fall Park Rd,Boyne City,Outdoors,24/7,,Mail slot in door.
Cheboygan,Beaugrand Township,1999 Old Mackinaw Rd,Cheboygan,Outdoors,24/7,,
Chippewa,Bruce Township,3156 E. 12 Mile Rd.,Dafter,Outdoors,24/7,,
Chippewa,DeTour Township,260 S Superior St,DeTour Village,Outdoors,24/7,,
Chippewa,Soo Township,639 3 1/2 Mile Road,Sault Ste. Marie,Outdoors,24/7,,
Chippewa,Superior Twonship,7049 S M 221,Brimley,Outdoors,24/7,,Night drop vault on side of hall.
Clare,Grant,3022 E Surrey Rd,Clare,Outdoors,24/7,,
Clare,Hayes Township,2055 E. Townline Lake Rd,Harrison,Outdoors,24/7,,
Clare,Surrey Township,110 E. Michigan,Farwell,Outdoors,24/7,,
Clinton,Bath Charter Township,14480 Webster Road,Bath,Outdoors,24/7,,
Clinton,City of DeWitt,414 E. MAIN STREET,DEWITT,Outdoors,24/7,,
Clinton,City of Ovid,114 E. Front Street,Ovid,Outdoors,24/7,,
Clinton,City of St. Johns,100 E. State Street,St. Johns,Outdoors,24/7,,South end of parking lot behind building.
Clinton,Dallas Township,225 South Main Street,Fowler,Outdoors,24/7,,
Clinton,DeWitt Charter Township,1401 West Herbison Rd.,DeWitt,Outdoors,24/7,,
Clinton,Essex Township,8740 W Colony Road,St. Johns,Outdoors,"7A - 9P, every day",,
Clinton,Greenbush,1883 E. French Rd.,St. Johns Mi,Outdoors,24/7,,
Clinton,Olive Township,1669 E Alward Rd,DeWitt,Outdoors,24/7,,
Clinton,Riley,7110 W Pratt,Dewitt,Outdoors,24/7,,
Clinton,Watertown Charter Township,12803 S. Wacousta Road,Grand Ledge,Outdoors,24/7,,
Crawford,GRAYLING CHARTER TOWNSHIP,2090 VIKING WAY,GRAYLING,Outdoors,24/7,,
Crawford,Lovells Township,8405 Twin Bridge Road,Grayling,Outdoors,24/7,,On north side of the building next to main doors of hall.
Delta,Escanaba Township,7893 Co 416 J Road,Gladstone,Indoors,24/7,,
Dickinson,Breitung Township,3851 Menominee Street,Quinnesec,Outdoors,24/7,,"At rear of township offices in the parking lot to the left of the board roomentrance."
Dickinson,Norway Township,N1732 MISSION STREET,VULCAN,Outdoors,24/7,,Located in mail slot of treasurer's office door
Dickinson,Waucedah Township,W3930 Morgan Street,Loretto,Outdoors,24/7,,Located on the side of the building.
Eaton,City of Charlotte,111 E LAWRENCE AVE,CHARLOTTE,Outdoors,24/7,,
Eaton,City of Charlotte,111 E LAWRENCE AVE,CHARLOTTE,Indoors,24/7,,
Eaton,City of Eaton Rapids,200 S. Main St.,Eaton Rapids,Outdoors,24/7,,
Eaton,City of Potterville,319 N Nelson,Potterville,Outdoors,24/7,,
Eaton,Delta Charter Township,7710 West Saginaw Hwy,Lansing,Outdoors,24/7,,
Eaton,Eaton Township,3981 E. Clinton Trail,Charlotte,Outdoors,24/7,,
Eaton,Kalamo Township,"8960 Spore St,",Vermontville,Outdoors,24/7,,
Eaton,Oneida Charter Township,11041 Oneida Rd,Grand Ledge,Outdoors,24/7,,"On front of building, to the right of the front doors."
Eaton,Windsor Charter Township,405 W Jefferson,Dimondale,Outdoors,24/7,,
Emmet,Bear Creek Township,373 N Division Rd,Petoskey,Outdoors,24/7,,The drop box is to the left of the front door.
Emmet,Readmond Township,6034 Wormwood Lane,Harbor Springs,Outdoors,24/7,,
Emmet,Springvale,8198 East Mitchell Rd,Petoskey,Outdoors,24/7,,
Genesee,Charter Township of Genesee,7244 N. Genesee Rd,Genesee,Outdoors,24/7,,In parking lot.
Genesee,Charter Township of Grand Blanc,5371 S. Saginaw Street,Grand Blanc,Outdoors,24/7,,"Drive-up ""tan mailbox"" near the front door and a drop box on the front doorof the township hall."
Genesee,Charter Township of Grand Blanc,5371 S. Saginaw Street,Grand Blanc,Outdoors,24/7,,On front door of township hall.
Genesee,City of Davison,"200 E. Flint Street, Suite 2",Davison,Outdoors,24/7,,
Genesee,City of Flint,"Flint City Hall, 1101 S. Saginaw St.",Flint,Outdoors,24/7,,Near front entrance.
Genesee,City of Flushing,725 E Main St,Flushing,Outdoors,24/7,,"In the circle driveway, with yellow lettering which reads ""Drop Box"" aboveit."
Genesee,City of Flushing,725 E Main St,Flushing,Outdoors,24/7,,"Next to the main entrance door to the building, attached to the wall."
Genesee,City of Grand Blanc,203 E Grand Blanc Rd,Grand Blanc,Outdoors,24/7,,
Genesee,City of Swartz Creek,8083 Civic Drive,Swartz Creek,Outdoors,24/7,,Alongside the driveway.
Genesee,Flint Charter Township,1490 S Dye Rd,Flint,Outdoors,24/7,,There are two drop boxes outside.
Genesee,Flint Charter Township,1490 S Dye Rd,Flint,Outdoors,24/7,,There are two drop boxes outside.
Genesee,Flint Charter Township,1490 S Dye Rd,Flint,Indoors,"8A - 5:30P, M-Th",,
Genesee,Flushing Township,6524 N. Seymour Rd.,Flushing,Outdoors,24/7,,
Genesee,Forest Township,130 E Main St,Otisville,Outdoors,24/7,,Outside main doors to building.
Genesee,Linden,132 E Broad,Linden,Outdoors,24/7,,
Genesee,Montrose Township,11444 N Seymour Rd,Montrose,Outdoors,24/7,,
Genesee,Mt. Morris Township,5447 Bicentennial Dr.,Mt. Morris,Outdoors,24/7,,
Gladwin,Clement Township,1497 E M-30,ALGER,Outdoors,24/7,,
Gladwin,Grout Township,249 North Grout Road,Gladwin,Outdoors,24/7,,
Gladwin,Hay,1220 E. Highwood Rd.,Beaverton,Indoors,24/7,,
Gladwin,Sage Township,1831 Pratt Lake Rd.,Gladwin,Indoors,24/7,,
Gladwin,Secord Township,1507 Secord Dam Rd,Gladwin,Outdoors,24/7,,
Gogebic,City of Bessemer,411 S. Sophie St,Bessemer,Outdoors,24/7,,
Grand Traverse,Blair Township,2121 County Road 633,Grawn,Outdoors,24/7,,
Grand Traverse,Charter Township of Garfield,3848 Veterans Drive,Traverse City,Outdoors,24/7,,
Grand Traverse,Charter Township of Garfield,3848 Veterans Drive,Traverse City,Outdoors,24/7,,Drive-up drop box and one located outside front door.
Grand Traverse,East Bay Charter Township,1965 N Three Mile Road,Traverse City,Outdoors,24/7,,Outside drive-up drop box and a walk-up drop off slot in our front entrance.
Grand Traverse,East Bay Charter Township,1965 N Three Mile Road,Traverse City,Outdoors,24/7,,
Grand Traverse,Long Lake Township,8870 North Long Lake Rd.,Traverse City,Outdoors,24/7,,
Grand Traverse,Mayfield Township,2991 Center Road,Kingsley,Outdoors,24/7,,
Grand Traverse,Paradise township,2300 E. M-113,Kingsley,Outdoors,24/7,,
Grand Traverse,Peninsula Township,13235 Center Road,TRAVERSE CITY,Outdoors,24/7,,
Gratiot,Bethany,9958 North Blair Rd,Breckenridge,Outdoors,24/7,,
Gratiot,City of Alma,500 E. Superior Street,Alma,Outdoors,24/7,,drop box is accessible by drive-thru at the Alma Public Library.
Gratiot,City of Ithaca,129 W EMERSON ST,ITHACA,Outdoors,24/7,,
Gratiot,Pine River Township,1495 W Monroe Rd,St Louis,Outdoors,24/7,,
Gratiot,Sumner Township,8644 W Polk Rd,Sumner,Outdoors,24/7,,
Gratiot,Wheeler,8510 E Monroe Rd,Wheeler,Outdoors,24/7,,
Hillsdale,Fayette Township,211 North Street,Jonesville,Outdoors,24/7,,Mail slot in front door of township building.
Hillsdale,Hillsdale City,97 N. Broad Street,Hillsdale,Outdoors,24/7,,
Hillsdale,Jonesville,265 E. Chicago St.,Jonesville,Outdoors,24/7,,Multipurpose drop box.
Hillsdale,Pittsford,4815 S Second St.,Pittsford,Outdoors,24/7,,
Hillsdale,Reading Township,5355 Edon Rd,Reading,Outdoors,24/7,,
Hillsdale,Somerset Center,12715 E Chicago Rd.,Somerset Center,Indoors,24/7,,Locked library book drop box inside the Front door to the township office.
Houghton,Chassell,41950 Willson Memorial Dr.,CHASSELL,Outdoors,24/7,,
Houghton,FranklinTownship,49850 US Hwy 41,Hancock,Outdoors,24/7,,
Houghton,Hancock,399 Quincy St,Hancock,Outdoors,24/7,,
Houghton,Torch Lake Township,52235 Duncan Ave,Hubbell,Indoors,24/7,,Mail slot on the inside of the door
Huron,BINGHAM TOWNSHIP,2241 PIERCE ST.,UBLY,Outdoors,24/7,,Located in the door to the hall.
Huron,Hume Township,115 Port Crescent Road,Port Austin,Outdoors,24/7,,Mailbox right next to house.
Huron,Lake Township,4988 W Kinde Rd,Caseville,Indoors,24/7,,
Huron,Port Austin,8751 N Hellems Road,Port Austin,Outdoors,24/7,,
Ingham,Aurelius Township,1939 S Aurelius Rd,Mason,Outdoors,24/7,,
Ingham,Charter Township of Lansing,3209 W. Michigan Avenue,Lansing,Outdoors,24/7,,
Ingham,City of East Lansing,410 Abbot Road,East Lansing,Outdoors,24/7,,
Ingham,City of Lansing,2500 S. Washington Ave,Lansing,Outdoors,24/7,,
Ingham,City of Lansing,124 W Michigan Ave,Lansing,Outdoors,24/7,,
Ingham,City of Mason,201 W. Ash Street,Mason,Outdoors,24/7,,
Ingham,City of Williamston,161 E. Grand River Ave.,Williamston,Outdoors,24/7,,
Ingham,Delhi Charter Township,2074 Aurelius Road,Holt,Outdoors,24/7,,
Ingham,Williamstown Township,4990 Zimmer Rd,Williamston,Outdoors,24/7,,White mailbox at corner of Zimmer and Germany.
Ingham,Williamstown Township,4990 Zimmer Rd,Williamston,Outdoors,24/7,,"Mail slot to the left of the glass double doors, labeled ""Drop Slot"""
Ionia,Berlin Township,4825 Ainsworth Rd,Ionia,Outdoors,24/7,,
Ionia,Boston Township,30 N. Center St.,Saranac,Outdoors,24/7,,Slot in office door.
Ionia,Campbell Township,331 S. Main St.,Clarksville,Indoors,24/7,,
Ionia,City of Belding,"City Hall, 120 S. Pleasant Street",Belding,Outdoors,24/7,,Absent voter apps and ballots may go in box for water bills and taxes.
Ionia,Orleans Township,3077 Palmer Road,Orleans,Outdoors,24/7,,
Ionia,Portland City,259 Kent St.,Portland,Outdoors,24/7,,To the left of the drive thru window.
Iosco,Charter Township of Oscoda,110 S. State. St.,Oscoda,Outdoors,24/7,,
Iosco,City of Tawas City,550 W. Lake Street,Tawas City,Outdoors,24/7,,At entrance behind the building.
Iosco,Tawas township,27 S McArdle Road,Tawas City,Outdoors,24/7,,
Iosco,Wilber Township,3120 Sherman Rd,East Tawas,Outdoors,24/7,,
Iron,Bates Township,3070 US Hwy 2,Iron River,Outdoors,24/7,,
Iron,Crystal Falls Township,1384 West US Hwy 2,Crystal Falls,Outdoors,24/7,,
Iron,Iron River Township,102 McNutt Road,Iron River,Outdoors,24/7,,
Iron,Mansfield Township,2904 State Hwy. M-69,Crystal Falls,Outdoors,24/7,,
Iron,Mastodon Township,"1371 US Highway 2, South",CRYSTAL FALLS,Outdoors,24/7,,
Isabella,City of Mt. Pleasant,320 West Broadway Street,Mt. Pleasant,Outdoors,24/7,,Mulitpurpose drop box in parking lot.
Isabella,Shepherd,309 W Wright Ave,Shepherd,Indoors,24/7,,
Isabella,Union,2010 S Lincoln Rd,Mt. Pleasant,Outdoors,"8:30A - 4:30P, M-F",,
Jackson,Blackman Township,1990 W Parnall Rd,Jackson,Outdoors,24/7,,
Jackson,Concord Township,121 Grove Street,Concord,Outdoors,24/7,,
Jackson,Pulaski Township,12363 Folks Rd,Hanover,Outdoors,24/7,,
Jackson,Rives,348 E. Main Street,Rives Junction,Outdoors,24/7,,
Jackson,Spring Arbor,107 E. Main Street,Spring Arbor,Outdoors,24/7,,Multipurpose drop box.
Jackson,Waterloo Township,9773 Mt. Hope Rd.,Munith,Outdoors,24/7,,
Kalamazoo,Charleston Township,1499 South 38th Street,Galesburg,Outdoors,24/7,,
Kalamazoo,City of Portage,7900 S. Westnedge,Portage,Outdoors,24/7,,
Kalamazoo,City of Portage,7900 S. Westnedge,Portage,Indoors,"9A - 4P, M-F",,
Kalamazoo,Climax Township,110 N. Main St.,Climax,Outdoors,24/7,,
Kalamazoo,Comstock Township,6138 King Highway,Kalamazoo,Outdoors,24/7,,
Kalamazoo,Cooper Charter Township,1590 West D Ave,Kalamazoo,Outdoors,24/7,,
Kalamazoo,Oshtemo,7275 West Main St.,Kalamazoo,Outdoors,24/7,,The drop box is walk up or drive up
Kalamazoo,Parchment,650 S Riverview Drive,Parchment,Outdoors,24/7,,
Kalamazoo,Texas Township,7110 West Q Avenue,Kalamazoo,Outdoors,24/7,,
Kalkaska,Bear Lake Township,198 East Bear Lake Rd NE,Kalkaska,Outdoors,24/7,,Located outside by the main entry door.
Kalkaska,Blue Lake Township,10599 Twin Lake Rd NE,Mancelona,Outdoors,24/7,,
Kalkaska,Clearwater Township,5440 River St.,Rapid City,Outdoors,24/7,,
Kalkaska,Coldsprings Township,6515 County Road 571,Mancelona,Outdoors,24/7,,
Kalkaska,EXCELSIOR TOWNSHIP,987 CO. RD. 571,KALKASKA,Outdoors,24/7,,
Kalkaska,EXCELSIOR TOWNSHIP,967 SIGMA RD. S.E.,KALKASKA,Outdoors,24/7,,
Kalkaska,KALKASKA TOWNSHIP,209 LAUREL STREET,KALKASKA,Outdoors,24/7,,
Kent,Algoma Township,10531 Algoma Ave NE,Rockford,Outdoors,24/7,,
Kent,Alpine Township,5255 Alpine Avenue NW,Comstock Park,Indoors,24/7,,
Kent,Byron Township,8085 Byron Center Ave. SW,BYRON CENTER,Outdoors,24/7,,
Kent,Byron Township,8085 Byron Center Ave. SW,BYRON CENTER,Indoors,"8A - 5P, M-F","7A - 3P,  Saturday, Aug. 1",
Kent,Charter Township of Caledonia,8196 Broadmoor Ave SE,Caledonia,Outdoors,24/7,,
Kent,City of Grand Rapids,300 Ottawa NW,Grand Rapids,Outdoors,24/7,,
Kent,City of Wyoming,1155 28th Street SW,Wyoming,Outdoors,24/7,,The drop box is located on the north side of City Hall.
Kent,Courtland Township,7450 14 Mile Rd,Rockford,Outdoors,24/7,,
Kent,Courtland Township,7450 14 Mile Rd,Rockford,Indoors,"9A - 12P, 1P- 4:30PM-Th",,
Kent,Grand Rapids Charter Township,1836 East Beltline NE,Grand Rapids,Outdoors,24/7,,Curbside drop box
Kent,Lowell Charter Township,2910 Alden Nash SE,Lowell,Outdoors,24/7,,
Kent,Oakfield Township,10300 14 Mile Road,Rockford,Outdoors,24/7,,
Kent,Rockford,7 S Monroe St,Rockford,Outdoors,24/7,,
Kent,SOLON TOWNSHIP,15185 Algoma Avenue NE,Cedar Springs,Outdoors,24/7,,
Kent,Tyrone Township,28 E. Muskegon St,Kent City,Outdoors,24/7,,
Kent,Vergennes Township,10381 Bailey Dr,Lowell,Outdoors,24/7,,
Kent,Walker,4243 Remembrance Rd,Walker,Outdoors,24/7,,
Lake,Elk Township,8966 N. Bass Lake Road,Irons,Outdoors,24/7,,Outside office front door.
Lapeer,Almont Township,819 N Main St,Almont,Outdoors,24/7,,
Lapeer,Arcadia Township,4900 Spencer St,Attica,Outdoors,24/7,,Black locked drop box located near the message board and flag pole.
Lapeer,City of Imlay City,150 N Main,Imlay,Outdoors,24/7,,
Lapeer,City of Lapeer,576 Liberty Park,Lapeer,Outdoors,24/7,,
Lapeer,Deerfield Township,30 E. Burnside Rd,North Branch,Outdoors,24/7,,
Lapeer,Dryden Township,4849 Dryden Rd.,Dryden,Outdoors,24/7,,
Lapeer,Elba,4717 Lippincott Rd.,Lapeer,Outdoors,24/7,,
Lapeer,Hadley Township,4293 Pratt Rd,Hadley,Outdoors,24/7,,
Lapeer,Imlay Township,682 N Fairgrounds Rd,Imlay City,Outdoors,24/7,,On front of the building.
Lapeer,Marathon Township,4575 Pine Street,Columbiaivlle,Outdoors,24/7,,
Lapeer,North Branch,6771 Elm Street,North Branch,Outdoors,24/7,,Next to the front entrance of the building.
Leelanau,Bingham Township,7171 S. Center Highway,Traverse City,Outdoors,24/7,,
Leelanau,Cleveland Township,955 W Harbor Hwy,Maple City,Outdoors,24/7,,
Leelanau,Elmwood Township,10090 E. Lincoln Rd.,Travere City,Outdoors,24/7,,
Leelanau,Empire Township,10098 W Front Street,Empire,Outdoors,24/7,,Secure mail slot in door.
Leelanau,Leland Township,123 N Saint Joseph Street,Lake Leelanau,Outdoors,24/7,,
Leelanau,Suttons Bay Township,95 W. Fourth Street,Suttons Bay,Outdoors,24/7,,
Lenawee,Blissfield Township,120s lane street,Blissfield,Outdoors,24/7,,Slot in front door of office
Lenawee,CITY OF ADRIAN,135 E. MAUMEE STREET,ADRIAN,Outdoors,24/7,,"Payment drop boxes at back of hall for drive-up or to right of doors onbuilding."
Lenawee,City of Hudson,121 N Church St,Hudson,Outdoors,24/7,,
Lenawee,Clinton,172 W. Michigan Ave,Clinton,Outdoors,24/7,,Drop slot by front entrance.
Lenawee,FRANKLIN TOWNSHIP,3922 MONROE ROAD,TIPTON,Outdoors,24/7,,To right of hall front door.
Lenawee,Palmyra Township,4276 Main St.,Palmyra,Outdoors,24/7,,South side door of the building.
Lenawee,Riga,7817 Riga Hwy,Riga,Outdoors,24/7,,On west office door.
Lenawee,Township,3804 S. Adrian Hwy.,Adrian,Outdoors,24/7,,
Lenawee,Woodstock Township,6486 Devils Lake Hwy,Addison,Outdoors,24/7,,Small drop box also used for tax payments and permits.
Livingston,Charter Township of Brighton,4363 Buno Road,Brighton,Outdoors,24/7,,"Has one currently attached to building, adding another that will be curbsidefor residents to drive up."
Livingston,City of Howell,611 E. GRAND RIVER,HOWELL,Indoors,24/7,,Lobby area of city hall
Livingston,Cohoctah Township,10518 N Antcliff Rd,Fowlerville,Outdoors,24/7,,
Livingston,Conway Township,8015 N Fowlerville Road,Fowlerville,Outdoors,24/7,,
Livingston,Hamburg Township,10405 Merrill Rd,Hamburg,Outdoors,24/7,,Drive up box at the beginning of the walkway from the parking lot.
Livingston,HANDY TOWNSHIP,135 N. GRAND AVENUE,Fowlerville,Outdoors,24/7,,
Livingston,Hartland Township,2655 Clark Rd.,Hartland,Outdoors,24/7,,
Livingston,Howell Township,3525 Byron Rd,Howell,Outdoors,24/7,,
Livingston,Iosco Township,2050 Bradley Rd.,Webberville,Outdoors,24/7,,
Livingston,Unadilla,126 Webb street,Gregory,Outdoors,24/7,,
Mackinac,Bois Blanc Township,431 Sioux Ave,Pointe Aux Pins,Outdoors,24/7,,Drop box/window is to the side of the entry to the hall offices.
Mackinac,Clark Township,207 N. Blind Line Road,Cedarville,Outdoors,24/7,,On outside of building.
Mackinac,Garfield Township,N6760 State Highway 117,Engadine,Outdoors,24/7,,On front door to hall.
